MID,DISCIPLINE,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8401700170,GMU,HELLENIC MUSEUM AND CULTURAL CENTER,3126551234,HTTP://WWW.NATIONALHELLENICMUSEUM.ORG,-87.64713,41.87729,333 SOUTH HALSTED STREET,CHICAGO,IL,60607
8401700171,GMU,HAUBERG INDIAN MUSEUM,3097889536, ,-90.57719,41.46542,1510 46TH AVE,ROCK ISLAND,IL,61265
8401700174,GMU,GOOSE LAKE PRAIRIE STATE NATURAL AREA,8159422899,HTTP://GOOSELAKEPRAIRIE.ORG,-88.32528,41.35951,5010 N JUGTOWN RD,MORRIS,IL,60450
8401700176,GMU,GROVE INTERPRETIVE CENTER,8472996096, ,-87.86618,42.08297,1421 MILWAUKEE AVE,GLENVIEW,IL,60025
8401700177,GMU,GRANT HALL MUSEUM,8475870544, ,-88.15453,42.38694,411 WASHINGTON ST,INGLESIDE,IL,60041
8401700178,GMU,HENRY THOMAS MUSEUM,3096992512, ,-89.58368,41.3665,116 N LOCUST ST,WYANET,IL,61379
8401700180,GMU,HEATH MUSEUM AND CONSECTIONERY,6185445309,HTTP://HEATHMUSEUM.COM,-87.73974,39.00573,125 COURT ST,ROBINSON,IL,62454
8401700184,GMU,HARRIS AGRICULTURE MUSEUM,2175782231, ,-88.45374,39.80812,202 W LOCUST AVE,ATWOOD,IL,61913
8401700185,GMU,HARVEY PITTS WATERFOWL MUSEUM,6185423562, ,-89.23334,37.99571,522 E ORCHARD LN,DU QUOIN,IL,62832
8401700186,GMU,HAWTHORNE WORKS MUSEUM,7086568000, ,-87.76306,41.8236,3801 S CENTRAL AVE,CICERO,IL,60804
8401700188,GMU,HERITAGE CULTURAL CENTER,2172437488, ,-90.22912,39.73616,200 W DOUGLAS AVE,JACKSONVILLE,IL,62650
8401700189,GMU,HEDGES STATION MUSEUM,6306531489, ,-88.18519,41.87237,0N555 WINFIELD ROAD,WINFIELD,IL,60190
8401700190,GMU,DOUGLAS COUNTY MUSEUM,2172532535, ,-88.28779,39.79242,700 SOUTH MAIN STREET,TUSCOLA,IL,61953
8401700191,GMU,DICKSON MOUNDS MUSEUM,3095473721,HTTP://WWW.MUSEUM.STATE.IL.US,-90.11509,40.34985,10956 N DICKSON MOUNDS ROAD,LEWISTOWN,IL,61542
8401700193,GMU,DOWNERS GROVE MUSEUM,6309631309, ,-88.00533,41.79294,831 MAPLE AVENUE,DOWNERS GROVE,IL,60515
8401700194,GMU,CENTER FOR HISTORY,6308356584, ,-88.10676,41.87038,606 N MAIN ST,WHEATON,IL,60189
8401700199,GMU,DUNHAM CENTER,6187955970,HTTP://KDCAH.ORG/MUSEUM/,-90.15459,38.62243,PO BOX 6,E SAINT LOUI,IL,62202
8401700201,GMU,CHI-AM MUSEUM CHICAGO,3129491000, ,-87.64184,41.83801,601 W 31ST ST,CHICAGO,IL,60616
8401700204,GMU,FABYAN VILLA MUSEUM,6303776424,HTTP://PPFV.ORG,-88.31267,41.87251,1511 SOUTH BATAVIA AVENUE,GENEVA,IL,60134
8401700205,GMU,CERNAN EARTH AND SPACE CENTER,7085833100, ,-87.84018,41.91253,2000 5TH AVE,RIVER GROVE,IL,60171
8401700207,GMU,CENTER FOR AMERICAN ARCHEOLOGY,6186534316,HTTP://WWW.CAA-ARCHEOLOGY.ORG/,-90.61151,39.29542,PO BOX 366,KAMPSVILLE,IL,62053
8401700208,GMU,DOUGLAS LINCOLN DEBATE MUSEUM,2173457919, ,-88.18363,39.49611,126 E ST,CHARLESTON,IL,61920
8401700209,GMU,CRUMBAUGH MUSEUM,3099623911, ,-88.75811,40.34707,405 E CENTER ST,LE ROY,IL,61752
8401700221,GMU,CLAYVILLE RURAL LIFE CENTER & MUSEUM, , ,-89.85704,39.8588,RRI BOX 177,PLEASANT PLAINS,IL,62677
8401700222,GMU,CHEVROLET HALL OF FAME MUSEUM,2177915793,HTTP://CHEVROLETHALLOFFAMEMUSEUM.COM,-88.89636,39.82537,3635 E US ROUTE 36,DECATUR,IL,62521
8401700224,GMU,DILLON HOME MUSEUM,8156226202, ,-89.69366,41.80617,1913 3RD AVE,STERLING,IL,61081
8401700229,GMU,CHICAGO SPORTS MUSEUM,3125279700, ,-87.61409,41.89199,700 E GRAND AVE,CHICAGO,IL,60611
8401700230,GMU,CHATHAM RAILROAD MUSEUM,2174837792, ,-89.70309,39.67532,100 N STATE ST,CHATHAM,IL,62629
8401700231,GMU,COOK COUNTY TRAILSIDE MUSEUM,7083666530,HTTP://FPDCC.COM/NATURE-CENTERS/TRAILSIDE-MUSEUM-NATURAL-HISTORY/,-87.82577,41.89302,738 THATCHER AVE,RIVER FOREST,IL,60305
8401700232,GMU,CHANUTE AIR MUSEUM,2178931613,HTTP://WWW.AEROMUSEUM.ORG,-88.14911,40.29777,1011 PACESETTER DR,RANTOUL,IL,61866
8401700235,GMU,CHICAGO THEN AND NOW,7736019272,HTTP://WWW.CHICAGOHISTORY.ORG/,-87.90491,41.97517,5600 MANNHEIM RD,CHICAGO,IL,60666
8401700237,GMU,ERWIN H WEDER MUSEUM,6186541761, ,-89.67766,38.74451,1111 6TH ST,HIGHLAND,IL,62249
8401700238,GMU,BOXCAR MUSEUM,2175662470, ,-89.52692,39.98199,ELM ST,WILLIAMSVILLE,IL,62693
8401700241,GMU,CARTERVILLE CITY MUSEUM,6189853091, ,-89.08283,37.76938,N DIVISION,CARTERVILLE,IL,62918
8401700242,GMU,BERWYN ROUTE 66 MUSEUM,7084849349,HTTP://WWW.BERWYNRT66MUSEUM.ORG,-87.7977,41.82556,7003 OGDEN AVE,BERWYN,IL,60402
8401700243,GMU,BAGPIPE MUSIC MUSEUM,7089221756, ,-87.68781,41.53899,1308 BALMORAL GLN,FLOSSMOOR,IL,60422
8401700244,GMU,BATAVIA DEPOT MUSEUM,6304065274,HTTP://WWW.BATAVIAHISTORICALSOCIETY.ORG,-88.31105,41.84873,PO BOX 14,BATAVIA,IL,60510
8401700246,GMU,BLANDIN HOUSE MUSEUM,3096523673, ,-90.86408,40.55428,215 S CHESTNUT ST,BLANDINSVILLE,IL,61420
8401700247,GMU,AURORA REGIONAL FIRE MUSEUM,6308921572,HTTP://WWW.AURORAREGIONALFIREMUSEUM.ORG,-88.31155,41.75847,53 N BROADWAY,AURORA,IL,60505
8401700249,GMU,AMISH INTERPRETIVE CENTER,2172683599,HTTP://AMISHCENTER.COM,-88.39043,39.67599,125 NORTH COUNTY ROAD 425E,ARCOLA,IL,61910
8401700251,GMU,AMERICANA HOLLYWOOD,6185245975,HTTP://WWW.AMERICANAHOLLYWOODMUSEUM.COM,-88.73367,37.14927,108 W 3RD ST,METROPOLIS,IL,62960
8401700252,GMU,BYRON MUSEUM OF HISTORY,8152345031,HTTP://WWW.BYRONMUSEUM.ORG,-89.25608,42.12643,110 N UNION ST,BYRON,IL,61010
8401700254,GMU,BELLE-FOUNTAINE MUSEUM AND HOUSE,6189395230, ,-90.1482,38.32632,700 S CHURCH ST,WATERLOO,IL,62298
8401700257,GMU,BEARDSTOWN LINCOLN MUSEUM,2173233225,HTTP://WWW.LINCOLNINBEARDSTOWN.ORG/,-90.43459,40.01615,101 W 3RD ST,BEARDSTOWN,IL,62618
8401700259,GMU,BELGIAN CULTURE CENTER,3097620167, ,-90.52769,41.49691,1608 7TH ST,MOLINE,IL,61265
8401700261,GMU,AIR CLASSICS MUSEUM,6304660888,HTTP://WWW.AIRCLASSICSMUSEUM.ORG,-88.47477,41.76447,44W546 US HIGHWAY 30,SUGAR GROVE,IL,60554
8401700262,GMU,ALLERTON PARK AND RETREAT CENTER,2177627011, ,-88.65755,40.00003,515 OLD TIMBER ROAD,MONTICELLO,IL,61856
8401700263,GMU,AFRICAN-AMERICAN HERITAGE MUSEUM AND BLACK VETERAN'S ARCHIVES,8159689770,HTTP://WWW.TAAHM.ORG/,-90.45183,30.49806,709 E LOUISIANA AVE,HAMMOND,LA,70403
8401700265,GMU,AMERICAN POLICE CENTER MUSEUM, , ,-87.85299,41.8287,3439 GRAND BLVD,BROOKFIELD,IL,60513
8401700267,GMU,CATLIN HERITAGE MUSEUM,2174275766, ,-87.70081,40.06818,210 N PARIS ST,CATLIN,IL,61817
8401700269,GMU,BELLFLOWER VILLAGE AND MUSEUM,3097223757, ,-88.52717,40.33732,210 N LATCHA ST,BELLFLOWER,IL,61724
8401700284,GMU,PAULSONS AGRICULTURE MUSEUM OF ARGYLE,8158853846,HTTP://PAULSONSAGRICULTUREMUSEUM.COM/,-88.94174,42.36212,6910 BELVIDERE RD,CALEDONIA,IL,61073
8401700285,GMU,MARGARET WOODBURY STRONG MUSEUM,5852632700,HTTP://WWW.MUSEUMOFPLAY.ORG/,-77.60277,43.15325,ONE MANHATTAN SQUARE,ROCHESTER,NY,60603
8401700294,GMU,ILLINOIS AVIATION MUSEUM AT BOLINGBROOK,6308545506,HTTP://WWW.ILLINOISAVIATIONMUSEUM.ORG,-88.12888,41.70205,130 S CLOW INTERNATIONAL,BOLINGBROOK,IL,60490
8401700296,GMU,MCCORMICK FREEDOM MUSEUM, , ,-87.62442,41.8858,205 N MICHIGAN AVE SUITE 4900,CHICAGO,IL,60601
8401700312,GMU,VICTORY AIR MUSEUM, , ,-87.86742,41.80492,PO BOX 966,LA GRANGE,IL,60525
8401700328,GMU,DIXON HISTORIC CENTER,8152885508,HTTP://NTHC.ORG/,-89.48325,41.84322,205 WEST 5TH STREET,DIXON,IL,61021
8401700329,GMU,CHICAGO TEEN MUSEUM, , ,-87.69693,41.9088,1523 N CALIFORNIA AVE,CHICAGO,IL,60622
8401700333,GMU,HONORABLE ELIJAH MUHAMMAD COMMERATIVE CENTER,3126351020,HTTP://WWW.HEMCC.ORG/,-87.60541,41.46765,233 BRENNER COURT,CHICAGO,IL,60417
8401700348,GMU,KATHERINE DUNHAM CENTERS FOR THE ARTS, ,HTTP://KDCAH.ORG/,-90.1473,38.62708,532 NORTH 10TH STREET,EAST SAINT LO,IL,62201
8401700394,GMU,MIDWAY VILLAGE & MUSEUM CENTER,8153979112, ,-88.99074,42.28222,6799 GUILFORD RD,ROCKFORD,IL,61107
8401700414,GMU,ZITELMAN SCOUT MUSEUM,8159623999, ,-89.09042,42.26011,708 SEMINARY ST,ROCKFORD,IL,61104
8401700415,GMU,GARDNER MUSEUM OF ARCHITECTURE AND DESIGN,2172246873, ,-91.41039,39.93161,332 MAINE ST,QUINCY,IL,62301
8401700429,GMU,WILLIAM L. GREGG HOUSE MUSEUM,6309603392,HTTP://WESTMONTPARKS.ORG/FACILITIES/GREGG-HOUSE-MUSEUM.HTM,-87.97662,41.79007,117 S LINDEN AVE,WESTMONT,IL,60559
8401700445,GMU,MATT LAMB CHICAGO MUSEUM, ,HTTP://MUSEUMPRIVATEART.ORG,-87.6368,41.87997,150 SOUTH WACKER DRIVE,CHICAGO,IL,60606
8401700446,GMU,ILLINOIS HIGH SCHOOL BASKETBALL HALL OF FAME AND MUSEUM, ,HTTP://ILLINOISHOOPS.ORG/,-89.39149,38.09466,PO BOX 1,PINCKNEYVILL,IL,62274
8401700447,GMU,ILLINOIS BASKETBALL HALL OF FAME,2174423865,HTTP://ILHOOPSHALL.COM/,-87.63129,40.12435,100 W MAIN STREET SUITE 146,DANVILLE,IL,61832
8401700454,GMU,MUSEUM OF CLASSIC CHICAGO TELEVISION,6308031977,HTTP://WWW.FUZZYMEMORIES.TV,-88.05186,41.7844,5612 WALNUT AVENUE,DOWNERS GROV,IL,60516
8401700457,GMU,AMERICAN TOBY JUG MUSEUM,8778629687, ,-87.67953,42.03429,910 CHICAGO AVENUE NO 10,EVANSTON,IL,60202
8401700465,GMU,SAVANNA ARMY DEPOT AND MILITARY MUSEUM, , ,-90.17698,42.16827,3651 CRIM DRIVE STE 2,SAVANNA,IL,61074
8401700498,GMU,NATIONAL MUSEUM OF HEALTH AND MEDICINE CHICAGO,3128548324,HTTP://WWW.NMHMCHICAGO.ORG,-87.63322,41.88311,175 W WASHINGTON STREET,CHICAGO,IL,60602
8401700512,GMU,LIVINGSTON COUNTY WAR MUSEUM,8158420301, ,-88.62868,40.88048,321 N MAIN ST,PONTIAC,IL,61764
8401700514,GMU,INDO-AMERICAN HERITAGE MUSEUM,8474756853, ,-87.69968,41.99632,6328 N CALIFORNIA AVE,CHICAGO,IL,60659
8401700516,GMU,MUSEUMS IN HAND, , ,-87.63658,41.87874,233 S WACKER DR UNIT 9370,CHICAGO,IL,60606
8401700525,GMU,WESTERN ILLINOIS MUSEUM,3098372750,HTTP://WWW.WESTERNILLINOISMUSEUM.ORG,-90.67169,40.45684,201 S LAFAYETTE ST,MACOMB,IL,61455
8401700529,GMU,MUSEUM OF FUNERAL CUSTOMS,2175443480, ,-89.65634,39.78711,215 SOUTH GRAND AVE W,SPRINGFIELD,IL,62704
8401700545,GMU,HARRY AND DELLA BURPEE MUSEUM, ,HTTP://WWW.BURPEE.ORG,-89.08871,42.27779,813 N MAIN ST,ROCKFORD,IL,61103
8401700554,GMU,NEWBERRY LIBRARY,3129439090,HTTP://WWW.NEWBERRY.ORG,-87.63037,41.89989,60 W WALTON ST,CHICAGO,IL,60610
8401700556,GMU,CHICAGO SYMPHONY ORCHESTRA,3122943000,HTTP://CSO.ORG/,-87.62437,41.87928,220 S MICHIGAN AVE,CHICAGO,IL,60604
8401700569,GMU,SERBIAN-AMERICAN MUSEUM - ST SAVA,7737705572, ,-87.6417,41.93779,448 W BARRY AVE,CHICAGO,IL,60657
8401700571,GMU,UKRAINIAN NATIONAL MUSEUM,3124218020, ,-87.68278,41.89481,2249 W SUPERIOR ST,CHICAGO,IL,60612
8401700572,GMU,LIZZADRO MUSEUM OF LAPIDARY ARTS,6308331616,HTTP://WWW.LIZZADROMUSEUM.ORG,-87.94255,41.89532,220 S COTTAGE HILL AVE,ELMHURST,IL,60126
8401700575,GMU,DUSABLE MUSEUM OF AFRICAN AMERICAN HISTORY,3129470600,HTTP://WWW.DUSABLEMUSEUM.ORG,-87.60681,41.79217,740 E 56TH PL,CHICAGO,IL,60637
8401700580,GMU,JURICA-SUCHY NATURE MUSEUM,6308296545, ,-88.09408,41.77767,5700 COLLEGE RD,LISLE,IL,60532
8401700582,GMU,AMERICAN POLICE CENTER & MUSEUM,2177935297, ,-87.85299,41.8287,3439 GRAND BLVD,BROOKFIELD,IL,60513
8401700590,GMU,IRISH AMERICAN HERITAGE CENTER,7732827035,HTTP://WWW.IRISH-AMERICAN.ORG,-87.74404,41.9649,4626 N KNOX AVE,CHICAGO,IL,60630
8401700601,GMU,NATIONAL ITALIAN AMERICAN SPORTS HALL OF FAME,3122265566,HTTP://WWW.NIASHF.ORG,-87.66295,41.86922,1431 W TAYLOR ST,CHICAGO,IL,60607
8401700610,GMU,NORWEGIAN CENTER,8154347478,HTTP://NTCMANILA.COM/,-88.7252,41.33532,415 LEWIS ST,MARSEILLES,IL,61341
8401700614,GMU,ART ENCOUNTER,8473289222, ,-87.68375,42.05853,927 NOYES ST STE 104,EVANSTON,IL,60201
8401700628,GMU,HINSDALE CENTER FOR THE ARTS,6308870203, ,-87.94508,41.82778,PO BOX 175,HINSDALE,IL,60522
8401700631,GMU,BEN FULLER MUSEUM, , ,-87.94508,41.82778,PO BOX 701,HINSDALE,IL,60522
8401700636,GMU,SCHOOL HOUSE MUSEUM, , ,-88.1828,42.01872,777 S BARTLETT RD,STREAMWOOD,IL,60107
8401700659,GMU,NATIONAL MUSEUM OF MEXICAN ART,3127381503,HTTP://WWW.NATIONALMUSEUMOFMEXICANART.ORG,-87.67234,41.85597,1852 W 19TH ST,CHICAGO,IL,60608
8401700661,GMU,DUNHAM HUNT MUSEUM,6304436733, ,-88.31077,41.91493,304 CEDAR AVE,ST CHARLES,IL,60174
8401700686,GMU,LITHUANIAN MUSEUM,3127761324, ,-87.68266,41.79186,5620 S CLAREMONT AVE,CHICAGO,IL,60636
8401700701,GMU,THOMPSON DEPOT MUSEUM,8152592361, ,-90.10022,41.95888,901 W MAIN ST,THOMSON,IL,61285
8401700706,GMU,MARYTOWN/ST. MAXMILLIAN KOLBE SHRINE,8473677800, ,-87.97419,42.27934,1600 W PARK AVE,LIBERTYVILLE,IL,60048
8401700714,GMU,NATIONAL HELLENIC MUSEUM,3126551234,HTTP://WWW.NATIONALHELLENICMUSEUM.ORG,-87.64713,41.87729,333 S HALSTED ST,CHICAGO,IL,60661
8401700716,GMU,CHICAGO SPORTS HALL OF FAME,3129440617, ,-87.63446,41.89327,222 W ONTARIO ST,CHICAGO,IL,60654
8401700718,GMU,WATSEKA UNION DEPOT,8154324731, ,-87.73613,40.78088,BOX 121 S 2ND ST,WATSEKA,IL,60970
8401700719,GMU,RIVERFRONT MUSEUM PARK,8159620105,HTTP://WWW.RIVERFRONTMUSEUMPARK.ORG/,-89.08982,42.27686,711 N MAIN ST,ROCKFORD,IL,61103
8401700732,GMU,ETHNIC HERITAGE MUSEUM,8159627402, ,-89.10048,42.26183,1129 SOUTH MAIN STREET,ROCKFORD,IL,61105
8401700739,GMU,ROBERT R. MCCORMICK MUSEUM,6302608159,HTTP://WWW.CANTIGNY.ORG,-88.13906,41.85158,1S151 WINFIELD RD,WHEATON,IL,60189
8401700740,GMU,CHESTER GOULD DICK TRACY MUSEUM,8153388281,HTTP://WWW.DICKTRACYMUSEUM.COM/,-88.44807,42.31515,101 N JOHNSON STREET,WOODSTOCK,IL,60134
8401700757,GMU,GREAT LAKES NAVAL MUSEUM,8476883154,HTTP://WWW.GREATLAKESNAVALMUSEUM.ORG/,-87.85721,42.30817,PO BOX 886307,GREAT LAKES,IL,60515
8401700760,GMU,ELGIN FIRE BARN NO 5 MUSEUM,8476976242,HTTP://ELGINFIREMUSEUM.WEEBLY.COM,-88.26982,42.02609,533 ST CHARLES ST,ELGIN,IL,60120
8401700765,GMU,INTERNATIONAL CINEMA MUSEUM,7082027055, ,-87.63634,41.89386,319 W ERIE ST,CHICAGO,IL,60654
8401700767,GMU,CHICAGO CULTURAL CENTER FOUNDATION,3127442173, ,-87.62509,41.88331,78 E WASHINGTON ST,CHICAGO,IL,60602
8401700768,GMU,INSTITUTE MUSEUM, , ,-87.66766,41.92615,1510 W MONTANA ST,CHICAGO,IL,60614
8401700771,GMU,BICYCLE MUSEUM OF AMERICA,3122220500, ,-87.61776,41.89095,435 E ILLINOIS ST,CHICAGO,IL,60611
8401700784,GMU,SMITH MUSEUM OF STAINED GLASS WINDOWS, ,HTTP://WWW.CHICAGOTRIBUNE.COM,-87.63686,41.88222,20 N WACKER DRIVE,CHICAGO,IL,60606
8401700795,GMU,GLENVIEW HANGAR ONE FOUNDATION,8476570000,HTTP://WWW.THEHANGARONE.ORG,-87.81458,42.09383,2040 LEHIGH AVE,GLENVIEW,IL,60026
8401700802,GMU,NATIONAL RAILROAD HALL OF FAME,3093454634, ,-90.3648,40.94752,311 E MAIN ST STE 512,GALESBURG,IL,61401
8401700803,GMU,ALEXIS MUSEUM,3094823223,HTTP://WWW.ALEXISONLINE.COM/,-90.568,41.06833,SCOTT ST & PALMER AVENUE,ALEXIS,IL,61412
8401700805,GMU,CHICAGOLAND SPORTS HALL OF FAME,8478248360,HTTP://WWW.CHICAGOLANDSPORTSHALLOFFAME.COM/,-87.63571,41.88311,309 W WASHINGTON STREET,CHICAGO,IL,60606
8401700822,GMU,SCHAAF TRUCK AND TRACTOR MUSEUM,8154647395, ,-87.80226,41.47017,22718 S WIRTH LN,FRANKFORT,IL,60423
8401700826,GMU,VIETNAM MUSEUM,7737286111, ,-87.66419,41.97269,1354 W ARGYLE ST APT 1N,CHICAGO,IL,60640
8401700828,GMU,MESOPATAMIA MUSEUM,8476999000, ,-87.90891,42.09162,25 S WOLF RD,PROSPECT HTS,IL,60070
8401700835,GMU,MASCOUTAH AEROSPACE MUSEUM,6185372003, ,-89.81558,38.6004,611 MARY JANE ST,LEBANON,IL,62254
8401700843,GMU,MITCHELL MUSEUM AT CEDARHURST,6182421236,HTTP://WWW.CEDARHURST.ORG/,-88.9054,38.32551,2600 RICHVIEW ROAD,MOUNT VERNON,IL,62864
8401700846,GMU,WORLD AEROSPACE MUSEUM, ,HTTP://WWW.JET-WARBIRDS.COM/,-91.40323,39.93319,PO BOX 32,QUINCY,IL,62306
8401700847,GMU,AMERICAN BAR ASSOCIATION MUSEUM OF LAW, , ,-87.62415,41.89411,750 N LAKE SHORE DR,CHICAGO,IL,60611
8401700848,GMU,POWELL ARCHAEOLOGICAL RESEARCH CENTER,6182714920,HTTP://WWW.POWELLARCHAEOLOGY.ORG,-90.08966,38.65936,5500 COLLINSVILLE RD,EAST ST LOUI,IL,62201
8401700849,GMU,FIRE MUSEUM OF GREATER CHICAGO,8772257491, ,-87.98179,41.67205,517 SENON DR,LEMONT,IL,60439
8401700854,GMU,CHARLES PERDEW MUSEUM,3093642980,HTTP://WWW.CHARLESPERDEW.COM,-89.35918,41.10779,914 FRONT STREET,HENRY,IL,61537
8401700857,GMU,A. PHILIP RANDOLPH PULLMAN PORTER MUSEUM,7738508580,HTTP://APHILIPRANDOLPHMUSEUM.COM,-87.60279,41.70412,10406 S MARYLAND AVE,CHICAGO,IL,61265
8401700883,GMU,RICHARD H DRIEHAUS MUSEUM,3124828933,HTTP://WWW.DRIEHAUSMUSEUM.ORG,-87.62644,41.89419,40 E ERIE ST,CHICAGO,IL,60611
8401700901,GMU,ANDERSON MUSEUM OF FLIGHT, , ,-88.23603,42.44372,1927 MAIN ST,SPRING GROVE,IL,60081
8401700902,GMU,AFRICAN AMERICAN HERITAGE MUSEUM & BLACK VETERANS ARCHIVES, , ,-90.45183,30.49806,709 E LOUISIANA AVE,HAMMOND,LA,70403
8401700908,GMU,NORTHERN ILLINOIS FIRE MUSEUM,8155688950,HTTP://WWW.NIFM.NET/,-88.60552,42.24614,PO BOX 1,MARENGO,IL,60152
8401700910,GMU,CZECHOSLOVAK HERITAGE MUSEUM LIBRARY & ARCHIVES, , ,-88.02656,41.84903,2050 S FINLEY RD STE 70,LOMBARD,IL,60148
8401700915,GMU,GRANT HALL MUSEUM OF THE FOX LAKE-GRANT TOWNSHIP AREA HISTO,8475870544, ,-88.15453,42.38694,411 WASHINGTON ST,INGLESIDE,IL,60020
8401700919,GMU,FOX VALLEY ARTS HALL OF FAME, , ,-88.34695,41.75529,347 S GLADSTONE AVE,AURORA,IL,60506
8401700930,GMU,SAVANNA TRAINCAR MUSEUM,8152733292, ,-90.15619,42.09852,833 3RD ST,SAVANNA,IL,61074
8401700931,GMU,AMBOY DEPOT MUSEUM,8158574700,HTTP://WWW.AMBOYDEPOTMUSEUM.ORG,-89.33309,41.71292,99 E MAIN ST,AMBOY,IL,61310
8401700936,GMU,LAKE COUNTY DISCOVERY MUSEUM,8479683400, ,-88.10281,42.26269,27227 NORTH FOREST PRESERVE ROAD,WAUCONDA,IL,60084
8401700945,GMU,ILLINOIS RAILWAY MUSEUM,8159234000,HTTP://WWW.IRM.ORG,-88.5306,42.22479,7000 OLSON RD,UNION,IL,60180
8401700946,GMU,L B OLMSTEAD TRUST,8154983537, ,-88.68526,41.63949,S DEPOT,SOMONAUK,IL,60552
8401700961,GMU,BALZEKAS MUSEUM OF LITHUANIAN CULTURE,7735826500,HTTP://WWW.BALZEKASMUSEUM.ORG,-87.72274,41.77444,6500 S PULASKI RD,CHICAGO,IL,60629
8401700962,GMU,CHICAGO ARCHITECTURE FOUNDATION,3129223432,HTTP://WWW.ARCHITECTURE.ORG,-87.62437,41.87923,224 SOUTH MICHIGAN AVE,CHICAGO,IL,60604
8401701005,GMU,CASTLE/VILLA KATHRINE,2172243688, ,-91.41217,39.92556,532 GARDNER EXPY,QUINCY,IL,62306
8401701013,GMU,GREATER PEORIA SPORTS HALL OF FAME, ,HTTP://WWW.GPSHOF.COM/,-89.61202,40.76176,PO BOX 9338,PEORIA,IL,61612
8401701022,GMU,HERITAGE IN FLIGHT MUSEUM,2177323333,HTTP://WWW.HERITAGEINFLIGHT.ORG,-89.34098,40.1648,1351 AIRPORT RD,LINCOLN,IL,62656
8401701026,GMU,GALESBURG RAILROAD MUSEUM,3093429400,HTTP://WWW.GALESBURGRAILROADMUSEUM.ORG,-90.36289,40.94734,PO BOX 947,GALESBURG,IL,61402
8401701027,GMU,SOUTHWESTERN FARM & HOME MUSEUM,6187293278, ,-90.0082,39.13316,PARK ST,SHIPMAN,IL,62626
8401701037,GMU,FRASCA AIR MUSEUM,2173678441,HTTP://WWW.FRASCA.COM,-88.19845,40.14207,1402 AIRPORT RD,URBANA,IL,61802
8401701042,GMU,RICHLAND HERITAGE MUSEUM,6183951963,HTTP://RICHLANDCOUNTYMUSEUMS.ORG/,-88.08532,38.74498,1519 N WALNUT ST,OLNEY,IL,62450
8401701043,GMU,PRAIRIE AVIATION MUSEUM,3096637632,HTTP://PRAIRIEAVIATIONMUSEUM.ORG/,-88.92713,40.48822,2929 E EMPIRE ST,BLOOMINGTON,IL,61704
8401701048,GMU,KIBBE HANCOCK HERITAGE MUSEUM,2173579552, ,-91.13257,40.42575,702 N HAVEN DR,CARTHAGE,IL,62321
8401701052,GMU,BOTTOMLEY-RUFFING-SCHALK BASEBALL MUSEUM,2175638807,HTTP://WWW.BRSMUSEUM.ORG/,-89.28616,39.30054,121 W STATE ST,NOKOMIS,IL,62075
8401701057,GMU,PHARMACY MUSEUM OF QUINCY ADAMS,2172241000, ,-91.40873,39.94366,1001 N 5TH ST,QUINCY,IL,62301
8401701060,GMU,MOWEQUA COAL MINE MUSEUM,2177683019, ,-89.0198,39.62415,129 S MAIN ST,MOWEAQUA,IL,62550
8401701075,GMU,HOPKINS ALUMNI MUSEUM, ,HTTP://HTHS-ALUMNI.ORG,-89.23587,41.21924,PO BOX 746,GRANVILLE,IL,61326
8401701078,GMU,USS FRANKLIN CV 13 MUSEUM,6184629634,HTTP://WWW.USSFRANKLIN.ORG,-90.19626,38.90922,1806 STATE ST,ALTON,IL,62002
8401701084,GMU,ILLINOIS MILITARY MUSEUM,2179233235, ,-88.16562,39.26479,RR 1,GREENUP,IL,62428
8401701092,GMU,AFRICAN-AMERICAN HALL OF FAME MUSEUM,3094972200,HTTP://AAHFMPEORIA.ORG,-89.61585,40.68582,309 S DUSABLE ST,PEORIA,IL,61605
8401701093,GMU,MILITARY AVIATION HALL OF FAME,2173698492,HTTP://WWW.ILAVHALLOFFAME.ORG/ABOUTUS.HTM,-88.29519,40.07506,3107 S DUNCAN RD,CHAMPAIGN,IL,61822
8401701096,GMU,BUCHANAN CENTER FOR THE ARTS,3097343033,HTTP://BCAARTS.ORG/,-90.64909,40.91166,64 PUBLIC SQ,MONMOUTH,IL,61462
8401701101,GMU,LINCOLN LIBRARY FOUNDATION,2177534988,HTTP://WWW.LINCOLNLIBRARY.INFO,-89.64641,39.7991,326 S 7TH ST,SPRINGFIELD,IL,62701
8401701118,GMU,AIR COMBAT MUSEUM, , ,-89.59902,39.72373,6 FOX MILL LN,SPRINGFIELD,IL,62712
8401701137,GMU,ALTAMONT LIVING MUSEUM, , ,-88.74522,39.05876,PO BOX 13,ALTAMONT,IL,62411
8401701146,GMU,JACKSONVILLE AREA CENTER FOR INDEPENDENT LIVING,2172458371,HTTP://JACIL.ORG,-90.26575,39.72485,15 PERMAC RD,JACKSONVILLE,IL,62650
8401701156,GMU,JOHNNY GRUELLE RAGGEDY ANN & ANDY MUSEUM,2172684908,HTTP://WWW.RAGGEDYANN-MUSEUM.ORG,-88.30763,39.68429,110 EAST MAIN STREET,ARCOLA,IL,61910
8401701160,GMU,ILLINOIS SPORTS HALL OF FAME & MUSEUM,2172228641, ,-89.57457,40.72483,3105 N PROSPECT RD,PEORIA,IL,61603
